sequence,v115@9gA8IeB8HeD8FeE8OeUAJvhFamBzhB5nB9tBzrBOtB,v115@9gA8IeB8HeD8FeE8OeUAJvhFRhBGjBTmBXsBTtBlsB,v115@9gA8IeB8HeD8FeE8OeFAJvhFxhBTjBUmBXsBTtBGsB,v115@9gA8IeB8HeD8FeE8OeUAJvhFFhBXiBTjBxrBTtBSxB,v115@9gA8IeB8HeD8FeE8OeRAJvhFtmBTjBmlBXsBTtB6sB,v115@9gA8IeB8HeD8FeE8OeFAJvhFXhBTjBxrBTtB8rB+sB,v115@9gA8IeB8HeD8FeE8OeFAJvhFXhB5nBTjBmrBTtB8rB,v115@9gA8IeB8HeD8FeE8OeUAJvhFamBRiBGnBzrBXtB9tB,v115@9gA8IeB8HeD8FeE8OeRAJvhFzhB6oBmlBzrBUtBtsB,v115@9gA8IeB8HeD8FeE8OeRAJvhFXiBTjBmlB9sBqrBTtB,v115@9gA8IeB8HeD8FeE8OeUAJvhFTjBimB9sBGmBTtBXsB,v115@9gA8IeB8HeD8FeE8OeUAJvhFGhBTjB/rBNsBTtB6sB,v115@9gA8IeB8HeD8FeE8OeUAJvhFamBumBTjBXsBTtB9sB,v115@9gA8IeB8HeD8FeE8OeUAJvhFTjBxmBFmBXnBSxBTtB,v115@9gA8IeB8HeD8FeE8OeUAJvhFamBRnB9tBGnBzrBXtB,v115@9gA8IeB8HeD8FeE8OeUAJvhFRhBtnBTmBesBXtB6tB,v115@9gA8IeB8HeD8FeE8OeUAJvhFamBXjBzmB9tBGnBRxB,v115@9gA8IeB8HeD8FeE8OeUAJvhFamBXjB+tBRsBtrBTsB,v115@9gA8IeB8HeD8FeE8OeUAJvhFRhBSnB/rB9tBTsBOtB
OZLJITO,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
OZLJIST,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O,X,O,X
OZLJISO,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OZLJIOT,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
OZLJIOS,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
OZLJSTI,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,O,X,X,X
OZLJSTO,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,O,X,X,X
OZLJSIT,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,O,X,O,X
OZLJSIO,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OZLJSOT,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
OZLJSOI,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OZLJOTI,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
OZLJOTS,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
OZLJOIT,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
OZLJOIS,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
OZLJOST,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
OZLJOSI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OZLSTIJ,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,O
OZLSTIO,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O
OZLSTJI,X,X,O,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,O
OZLSTJO,X,X,O,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,O
OZLSTOI,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O
OZLSTOJ,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O
OZLSITJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
OZLSITO,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
OZLSIJT,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O
OZLSIJO,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OZLSIOT,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O
OZLSIOJ,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
OZLSJTI,X,X,O,X,X,X,X,O,O,X,X,O,O,X,X,O,X,X,O
OZLSJTO,X,X,O,X,X,X,X,O,O,X,X,O,O,X,X,O,X,X,O
OZLSJIT,X,X,O,X,X,X,X,O,O,X,X,X,O,X,X,O,X,X,O
OZLSJIO,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OZLSJOT,X,X,O,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X
OZLSJOI,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OZLSOTI,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O
OZLSOTJ,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O
OZLSOIT,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O
OZLSOIJ,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
OZLSOJT,X,X,O,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X
OZLSOJI,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OZLOTIJ,O,X,X,O,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X
OZLOTIS,O,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
OZLOTJI,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
OZLOTJS,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
OZLOTSI,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
OZLOTSJ,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
OZLOITJ,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
OZLOITS,O,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
OZLOIJT,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
OZLOIJS,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
OZLOIST,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
OZLOISJ,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
OZLOJTI,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
OZLOJTS,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
OZLOJIT,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
OZLOJIS,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
OZLOJST,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
OZLOJSI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OZLOSTI,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
OZLOSTJ,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
OZLOSIT,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
OZLOSIJ,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
OZLOSJT,X,X,O,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X
OZLOSJI,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OZJTILS,O,X,X,O,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X
OZJTILO,O,X,X,O,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X
OZJTISL,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
OZJTISO,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
OZJTIOL,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
OZJTIOS,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
OZJTLIS,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
OZJTLIO,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
OZJTLSI,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
OZJTLSO,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
OZJTLOI,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
OZJTLOS,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
OZJTSIL,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,O
OZJTSIO,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,O
OZJTSLI,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,O,X,X,O
OZJTSLO,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,O,X,X,O
OZJTSOI,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,O
OZJTSOL,X,X,O,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,O
OZJTOIL,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
OZJTOIS,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
OZJTOLI,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
OZJTOLS,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
OZJTOSI,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
OZJTOSL,X,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
OZJITLS,O,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
OZJITLO,O,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
OZJITSL,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
OZJITSO,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
OZJITOL,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
OZJITOS,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
OZJILTS,O,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X
OZJILTO,O,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
OZJILST,X,X,X,O,X,X,O,O,O,X,X,X,X,X,X,O,X,O,X
OZJILSO,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
OZJILOT,O,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
OZJILOS,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
OZJISTL,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X
OZJISTO,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X
OZJISLT,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,O,X,O,X
OZJISLO,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
OZJISOT,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X
OZJISOL,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
OZJIOTL,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
OZJIOTS,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
OZJIOLT,O,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
OZJIOLS,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
OZJIOST,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X
OZJIOSL,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
OZJLTIS,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
OZJLTIO,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
OZJLTSI,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
OZJLTSO,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
OZJLTOI,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
OZJLTOS,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
OZJLITS,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X
OZJLITO,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
OZJLIST,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O,X,O,X
OZJLISO,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OZJLIOT,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
OZJLIOS,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
OZJLSTI,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,O,X,X,X
OZJLSTO,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,O,X,X,X
OZJLSIT,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,O,X,O,X
OZJLSIO,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OZJLSOT,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
OZJLSOI,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OZJLOTI,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
OZJLOTS,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
OZJLOIT,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
OZJLOIS,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
OZJLOST,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
OZJLOSI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OZJSTIL,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,O
OZJSTIO,X,O,O,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,O
OZJSTLI,X,X,O,X,O,X,X,O,X,X,X,O,O,X,X,O,X,X,O
OZJSTLO,X,X,O,X,O,X,X,O,X,X,X,O,O,X,X,O,X,X,O
OZJSTOI,X,O,O,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,O
OZJSTOL,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,O
OZJSITL,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,O
OZJSITO,X,O,O,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,O
OZJSILT,X,X,O,X,X,X,X,O,O,X,X,X,O,X,X,O,X,O,O
OZJSILO,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OZJSIOT,X,O,O,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X
OZJSIOL,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OZJSLTI,X,X,O,X,X,X,X,O,O,X,X,O,O,X,X,O,X,X,O
OZJSLTO,X,X,O,X,X,X,X,O,O,X,X,O,O,X,X,O,X,X,O
OZJSLIT,X,X,O,X,X,X,X,O,O,X,X,X,O,X,X,O,X,O,O
OZJSLIO,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OZJSLOT,X,X,O,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X
OZJSLOI,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OZJSOTI,X,O,O,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X
OZJSOTL,X,O,O,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X
OZJSOIT,X,O,O,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X
OZJSOIL,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OZJSOLT,X,X,O,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X
OZJSOLI,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OZJOTIL,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
OZJOTIS,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
OZJOTLI,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
OZJOTLS,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
OZJOTSI,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
OZJOTSL,X,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
OZJOITL,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
OZJOITS,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
OZJOILT,O,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
OZJOILS,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
OZJOIST,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X
OZJOISL,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
OZJOLTI,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
OZJOLTS,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
OZJOLIT,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
OZJOLIS,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
OZJOLST,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
OZJOLSI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OZJOSTI,X,O,O,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X
OZJOSTL,X,O,O,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X
OZJOSIT,X,O,O,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X
OZJOSIL,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OZJOSLT,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
OZJOSLI,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OZSTILJ,O,X,X,O,X,O,X,X,X,X,X,O,X,X,O,X,X,X,O
OZSTILO,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O
OZSTIJL,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O
OZSTIJO,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O
OZSTIOL,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O
OZSTIOJ,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O
OZSTLIJ,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,O
OZSTLIO,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O
OZSTLJI,X,X,O,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,O
OZSTLJO,X,X,O,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,O
OZSTLOI,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O
OZSTLOJ,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O
OZSTJIL,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,O
OZSTJIO,X,O,O,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,O
OZSTJLI,X,X,O,X,O,X,X,O,X,X,X,O,O,X,X,O,X,X,O
OZSTJLO,X,X,O,X,O,X,X,O,X,X,X,O,O,X,X,O,X,X,O
OZSTJOI,X,O,O,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,O
OZSTJOL,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,O
OZSTOIL,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O
OZSTOIJ,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O
OZSTOLI,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O
OZSTOLJ,X,O,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O
OZSTOJI,X,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O
OZSTOJL,X,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O
OZSITLJ,O,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O
OZSITLO,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O
OZSITJL,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O
OZSITJO,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O
OZSITOL,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O
OZSITOJ,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O
OZSILTJ,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
OZSILTO,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
OZSILJT,X,X,X,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,O
OZSILJO,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
OZSILOT,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
OZSILOJ,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OZSIJTL,X,X,O,X,O,O,X,X,X,X,X,O,X,X,X,O,X,X,O
OZSIJTO,X,O,O,X,O,O,X,X,X,X,X,O,X,X,X,O,X,X,O
OZSIJLT,X,X,O,X,X,O,X,O,X,X,X,X,O,X,X,O,X,X,O
OZSIJLO,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
OZSIJOT,X,O,O,X,O,O,X,X,X,X,X,O,X,X,X,O,X,X,X
OZSIJOL,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
OZSIOTL,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O
OZSIOTJ,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O
OZSIOLT,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
OZSIOLJ,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OZSIOJT,X,O,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
OZSIOJL,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
OZSLTIJ,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,O
OZSLTIO,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O
OZSLTJI,X,X,O,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,O
OZSLTJO,X,X,O,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,O
OZSLTOI,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O
OZSLTOJ,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O
OZSLITJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
OZSLITO,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
OZSLIJT,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O
OZSLIJO,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OZSLIOT,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O
OZSLIOJ,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
OZSLJTI,X,X,O,X,X,X,X,O,O,X,X,O,O,X,X,O,X,X,O
OZSLJTO,X,X,O,X,X,X,X,O,O,X,X,O,O,X,X,O,X,X,O
OZSLJIT,X,X,O,X,X,X,X,O,O,X,X,X,O,X,X,O,X,X,O
OZSLJIO,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OZSLJOT,X,X,O,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X
OZSLJOI,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OZSLOTI,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O
OZSLOTJ,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O
OZSLOIT,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O
OZSLOIJ,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
OZSLOJT,X,X,O,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X
OZSLOJI,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OZSJTIL,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,O
OZSJTIO,X,O,O,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,O
OZSJTLI,X,X,O,X,O,X,X,O,X,X,X,O,O,X,X,O,X,X,O
OZSJTLO,X,X,O,X,O,X,X,O,X,X,X,O,O,X,X,O,X,X,O
OZSJTOI,X,O,O,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,O
OZSJTOL,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,O
OZSJITL,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,O
OZSJITO,X,O,O,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,O
OZSJILT,X,X,O,X,X,X,X,O,O,X,X,X,O,X,X,O,X,X,O
OZSJILO,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OZSJIOT,X,O,O,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X
OZSJIOL,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OZSJLTI,X,X,O,X,X,X,X,O,O,X,X,O,O,X,X,O,X,X,O
OZSJLTO,X,X,O,X,X,X,X,O,O,X,X,O,O,X,X,O,X,X,O
OZSJLIT,X,X,O,X,X,X,X,O,O,X,X,X,O,X,X,O,X,X,O
OZSJLIO,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OZSJLOT,X,X,O,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X
OZSJLOI,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OZSJOTI,X,O,O,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X
OZSJOTL,X,O,O,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X
OZSJOIT,X,O,O,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X
OZSJOIL,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OZSJOLT,X,X,O,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X
OZSJOLI,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OZSOTIL,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O
OZSOTIJ,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O
OZSOTLI,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O
OZSOTLJ,X,O,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O
OZSOTJI,X,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O
